customer_id,review_id,product_parent,star_rating,helpful_votes,total_votes,vine,review_headline,review_body,review_date
51276712,R2U5A8P7ZZO75F,109226352,2,3,5,N,Junk! Do not buy!,We bought this microwave less than three years ago. It was handy and compact. It has now burned out in a spectacular and very dangerous flashing of fire and loud noises. Buy something else!,5/13/2015
25982682,REKMNME7NFLP7,109226352,4,1,1,N,... for about a year now and I am very happy with it,I've had this microwave for about a year now and I am very happy with it.  It fits in the corner of my kitchen counter and works just great for reheating foods and cooking vegetables.,5/11/2015
36658239,R3STZQPYKZJZX5,109226352,5,3,3,N,Best microwave I've ever owned or used.,"This is by far the best microwave I've ever owned, of any size or price, for two reasons: (1) form factor and (2) simplicity of controls. I use a microwave to heat leftovers, cook frozen meals, make popcorn, melt butter or cheese, thaw frozen meat, reheat cold coffee, freshen stale bread of make it into croutons, cook sausages and hot dogs etc. I use this microwave several times per day.  I think my microwave usage is pretty typical.  The only thing I don't do in the microwave is prepare entrees from scratch (like cooking a roast or casserole). I've cooked all sizes of frozen entrees with no issues. Note, my review refers to an earlier model of this machine, which seems identical to this one that has replaced it.<br /><br />(1) Form factor. Because the guts of the machine are under the cooking chamber, this has the smallest possible footprint.  And because of the rounded back, I have it tucked into a corner of the countertop. This means I lose only 1' of countertop, and furthermore it's an awkward part of the countertop I wouldn't use for prep work etc because my elbow would bang into the fridge. Every other microwave I've ever owned took up 2' of prime, useable countertop. This makes such a huge difference in the usability and appearance of the kitchen that I'd give it five stars for this reason alone.<br /><br />The interior size of this machine is bigger than you'd think because it's round and all the space is useable. The round turntable entirely fills the rounded shape of the interior. An advantage of this is that nothing falls off into the corners as it cooks. I've occasionally thawed something bigger then the turntable (the sides and front of the microwave are square so this is possible) and it wasn't a problem.<br /><br />(2) Controls. I love love love the simplicity of the controls. It does exactly everything I need it to do in a way that is completely intuitive and simple. I should mention I own an Emerson microwave in my office that I have never yet beenable to figure out how to operate (and I'm of at least normal intelligence). The hated Emerson has lots of buttons and I'm sure it does a lot of things I don't need, but none of that matters because I'm not willing to learn a complex and counterintuitive interface to cook a frozen lunch entree. This Whirlpool, however, is amazing.  It has Power, Defrost, Reheat and Popcorn buttons, as well as a Plus (+) and Minus (-) and a Start and a Stop. I accomplish everything with the Plus, Minus. Start and Stop, and occasionally Power.<br /><br />To operate, you can just press the Plus until you reach the time you want, then press Start. Bam. You can't get any easier than that. The time increments get larger as you increase time, and this is absolutely not a problem. It uses 5 second increments up to 2 minutes, then 15 second increments to 3 minutes, then 30 second increments up to six minutes, then one minute increments from there. This is fine; I've never had an issue where using 6 or 7 minutes instead of 6.5 minutes caused a meal to fail (my pot pies call for 6.5 minutes at 50% power, and they're fine at either 6 or 7.  When I make popcorn, I always listen to the popping and stop it when it slows. That's because popping times depend much more on the freshness and moisture content of the kernels than the power of the microwave; this is true of every microwave. Similarly, when I'm thawing something I pay attention to the progress of it because again, the fat content of the food and how hard it's frozen makes all the difference in timing. I suspect there are fancy convention microwaves with thermal probes that allow completely mindless use, but that kind of ultra high-end microwave isn't what I want or need.<br /><br />I've been using an earlier model of this microwave for three years with absolutely no problem. I can't speak to specific reliability of the model here, but mine is the same in layout of controls, form factor, etc, so I would not hesitate to buy this one. In factI'm very tempted to buy one of these for the office and get rid of that annoying Emerson once and for all.",12/14/2014
15476643,R1HUHZ4LPUFCKB,109226352,5,0,0,N,Love it!,"I have had mine for over a year and it is perfect! No one even notices it and it is using corner space I would not otherwise use. If trying to heat large amounts or use it a defroster or substitute oven then this might be too small for you. However, if you use a microwave for reheating food, cooking small amounts, popping popcorn and heating water it truly is perfect!",11/13/2014
19554274,R2D3DACG6K35HD,109226352,5,0,0,N,Compact and Cute,"Little and cute, and it does the job. I use microwaves mostly only for melting butter and chocolate, and for making popcorn. We had gotten rid of a big, old one, but my husband likes to have one for reheating food, so we succumbed. Opening the door with one hand is difficult or impossible, but the price and the size are right and thus, a good review.",9/20/2014
47031541,R2J74BFOF8DPY8,109226352,1,5,6,N,Does not operate on an inverter!!!,I bought this micro to go on my boat because of its compact size and can fit into a corner.  Even rebuilt my cabinet on the boat to accomodate it. Now I have found out it will not operate on an inverter,6/22/2014
33032266,R1MQZFT428M8KW,109226352,5,2,2,N,thoughtfully designed,"I bought this because the counter footprint and wattage were both low. I didn't expect very intuitive controls, a super easy-to-clean interior, weirdly efficient heating (stuff gets hot FAST) and thoughtful design touches like an interior light that switches off with disuse, and a polite, non-obnoxious &#34;your stuff is done&#34; beep that only goes off a few times before quieting down. It's a great little microwave. Bit tall, but that should be obvious from the pictures.  Update: Died in 2017 after years of faithful service, and I'm going to replace it with the same model. It has a totally unmatched capacity to footprint ratio, and I'm really annoyed that no one else is making microwaves that stack the mechanical bits under or over the food cavity. This is obviously the better way to build a microwave.",11/19/2013
14862626,R1JC5ODZ0ASZMS,109226352,1,12,14,N,DEAD after ony 1.5 yrs of light use,"Very disappointed, because this is the perfectly shaped microwave for our kitchen. But my husband reported a big, scary electrical storm (and bad smell = burning machine?) inside the unit yesterday, along with a weird dark brown spot on the inside of the machine. He was melting butter in a Pyrex bowl. Today, the microwave is headed for appliance recycling.<br /><br />Importantly, we only used the unit at most once or twice per day, to warm or melt things.",10/7/2013
13048864,R327DRKA5F5EQ8,109226352,5,1,1,N,Cutest and most space-saving MW ever,"My regular glasses can't fit in so keep that in mind, you'll need shorter glasses. Its footprint is a winner, even though I got tons of real estate on my countertop already, I still appreciate how much space it frees up when compared to my big ass conventional MW. I do miss the analog dial (to set minutes) on my old MW though, touching these touch-sensitive totally flat buttons is just so unnatural.  I regret that I didn't buy this earlier.",9/16/2013
45406057,RKNPXA0RWXMNN,109226352,1,14,15,N,Packed up,Has been owned for less than a year.. started sparking and had to stop using.  Now shopping for a new one.,2/11/2013
